Item #,Ref Des,Value,Qty,Manufacturer,Mfg Part #,Footprint / Package,Description / Value,Digi-Key Part No.,LCSC Part Number,Link
12,D104,Green LED,1,Lite-On Inc.,LTST-C170KGKT,LED_SMD:LED_APDA1806SECK,LED GREEN CLEAR SMD,160-1414-1-ND,C98221,https://www.digikey.com/en/products/detail/liteon/LTST-C170KGKT/386777
13,D105 D106 D108 D109 D110 D111 D112,ESD9B5.0ST5G_1,7,Bourns Inc.,CG0603MLC-05LE,Diode_SMD:D_0603_1608Metric,VARISTOR 0603,CG0603MLC-05LECT-ND,C316054,https://www.digikey.com/products/en?keywords=CG0603MLC-05LECT-ND
14,D107,MBRD10100CT,1,Diodes Incorporated,MBRD10200CT-13,Package_TO_SOT_SMD:TO-252-3_TabPin2,DIODE SCHOTTKY 200V 5A TO252,MBRD10200CT-13DICT-ND,C156323,https://www.digikey.com/en/products/detail/diodes-incorporated/MBRD10200CT-13/5080338
15,D201,BAT54C,1,Nexperia USA Inc.,BAT54C 215,Package_TO_SOT_SMD:SC-59,DIODE ARRAY SCHOTTKY 30V SOT23,1727-2902-1-ND,C37704,https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAT54C-215/763216
16,D202,B330A Schottky Diode,1,Diodes Incorporated,B330A-13-F,Diode_SMD:D_SMA,DIODE SCHOTTKY 30V 3A SMA,B330A-FDICT-ND,C110485,https://www.digikey.com/short/70dw2rqz
17,J201,Barrel_Jack_Switch,1,CUI Devices,PJ-036AH-SMT-TR,Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal,CONN PWR JACK 2X5.5MM SOLDER,CP-036AHPJCT-ND,,https://www.digikey.com/en/products/detail/cui-devices/PJ-036AH-SMT-TR/1530971
18,L201,2.2uH,1,"Shenzhen Sunlord Electronics Co., Ltd.",WPN4020H2R2MT,Inductor_SMD:WPN4020H2R2MT,FIXED IND 2.2UH 4.3A 48MOHM SMD,3442-WPN4020H2R2MTCT-ND,,https://www.digikey.com/en/products/detail/shenzhen-sunlord-electronics-co-ltd/WPN4020H2R2MT/14119999?s=N4IgTCBcDaIOoAUByAWADGNAJMAlMAsgCogC6AvkA
19,L202,1uH,1,Bourns Inc.,SRN5040TA-1R0M,Inductor_SMD:L_Bourns_SRN5040TA,FIXED IND 1UH 5A 12 MOHM SMD,SRN5040TA-1R0MCT-ND,C2044735,https://www.digikey.com/en/products/detail/bourns-inc/SRN5040TA-1R0M/9653870
20,P101,CONN HEADER SMD 6POS 2.54MM,1,Amphenol ICC (FCI),95278-101A06LF,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,CONN HEADER SMD 6POS 2.54MM,609-3487-1-ND,C178294,https://www.digikey.com/products/en?keywords=609-3487-1-ND
21,Q101,BSS84W-7-F,1,Diodes Incorporated,BSS84W-7-F,Package_TO_SOT_SMD:SOT-323_SC-70,MOSFET P-CH 50V 130MA SOT323,BSS84W-FDICT-ND,C110490,https://www.digikey.com/short/fjvhfm07
22,Q102,BSS138W-7-F,1,Diodes Incorporated,BSS138W-7-F,Package_TO_SOT_SMD:SOT-323_SC-70,MOSFET N-CH 50V 200MA SOT323,BSS138W-FDICT-ND,C24553,https://www.digikey.com/short/m8f8nn79
23,R102,162k,1,YAGEO,RC0805FR-07162KL,Resistor_SMD:R_0805_2012Metric,RES 162K OHM 1% 1/8W 0805,311-162KCRCT-ND,C273888,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07162KL/727630
24,R103,12.4k,1,YAGEO,RC0805FR-0712K4L,Resistor_SMD:R_0805_2012Metric,RES 12.4K OHM 1% 1/8W 0805,311-12.4KCRCT-ND,C137595,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0712K4L/727572
25,R104 R105,1k,2,Stackpole Electronics Inc,RMCF0805FT1K00,Resistor_SMD:R_0805_2012Metric,RES 1K OHM 1% 1/8W 0805,RMCF0805FT1K00CT-ND,C17513,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT1K00/1760090
